100 	  0.0001
200 	  0.0006
300 	  0.0028
400 	  0.0027
500 	  0.0027
600 	  0.0114
700 	  0.011
800 	  0.0114
900 	  0.0121
1000 	  0.0121
1100 	  0.0492
1200 	  0.0493
1300 	  0.0491
1400 	  0.0502
1500 	  0.0519
1600 	  0.0525
1700 	  0.053
1800 	  0.0555
1900 	  0.0546
2000 	  0.0535
2100 	  0.2033
2200 	  0.1957
2300 	  0.1981
2400 	  0.203
2500 	  0.1961
2600 	  0.2029
2700 	  0.2078
2800 	  0.2031
2900 	  0.2081
3000 	  0.2046
3100 	  0.2091
3200 	  0.2124
3300 	  0.2149
3400 	  0.2146
3500 	  0.2138
3600 	  0.221
3700 	  0.2237
3800 	  0.2242
3900 	  0.2276
4000 	  0.2159
4100 	  0.7829
4200 	  0.7891
4300 	  0.7844
4400 	  0.7915
4500 	  0.8012
4600 	  0.7925
4700 	  0.8067
4800 	  0.8114
4900 	  0.7963
5000 	  0.8014
5100 	  0.8091
5200 	  0.8059
5300 	  0.8304
5400 	  0.8249
5500 	  0.8202
5600 	  0.8239
5700 	  0.8235
5800 	  0.8162
5900 	  0.8206
6000 	  0.8114
6100 	  0.8085
6200 	  0.8198
6300 	  0.8262
6400 	  0.8253
6500 	  0.8405
6600 	  0.8509
6700 	  0.8669
6800 	  0.8526
6900 	  0.8757
7000 	  0.8834
7100 	  0.8716
7200 	  0.8948
7300 	  0.8925
7400 	  0.9053
7500 	  0.9041
7600 	  0.9032
7700 	  0.9006
7800 	  0.9267
7900 	  0.9211
8000 	  0.9298
8100 	  0.9269
8200 	  3.124
8300 	  3.1613
8400 	  3.1387
8500 	  3.1385
8600 	  3.1946
