100 	  3e-006
1100 	  2.9e-005
2100 	  5.4e-005
3100 	  0.000105
4100 	  0.000104
5100 	  0.000158
6100 	  0.000209
7100 	  0.000208
8100 	  0.000204
9100 	  0.000256
10100 	  0.000307
11100 	  0.000372
12100 	  0.000419
13100 	  0.000422
14100 	  0.000419
15100 	  0.000433
16100 	  0.000417
17100 	  0.000467
18100 	  0.000509
19100 	  0.000566
20100 	  0.000606
21100 	  0.000674
22100 	  0.000719
23100 	  0.000778
24100 	  0.000819
25100 	  0.000864
26100 	  0.000848
27100 	  0.000859
28100 	  0.000846
29100 	  0.000859
30100 	  0.00086
31100 	  0.00085
32100 	  0.00084
33100 	  0.000867
34100 	  0.000926
35100 	  0.000971
36100 	  0.001018
37100 	  0.001094
38100 	  0.001131
39100 	  0.001186
40100 	  0.001226
41100 	  0.001294
42100 	  0.001374
43100 	  0.001417
44100 	  0.001457
45100 	  0.001471
46100 	  0.001551
47100 	  0.001578
48100 	  0.001636
49100 	  0.001716
50100 	  0.001748
51100 	  0.001756
52100 	  0.001717
53100 	  0.001688
54100 	  0.001725
55100 	  0.001715
56100 	  0.001716
57100 	  0.001687
58100 	  0.001738
59100 	  0.001716
60100 	  0.001724
61100 	  0.001679
62100 	  0.001694
63100 	  0.001704
64100 	  0.001689
65100 	  0.001685
66100 	  0.001749
67100 	  0.001836
68100 	  0.001876
69100 	  0.001899
70100 	  0.002032
71100 	  0.002022
72100 	  0.002046
73100 	  0.002127
74100 	  0.002237
75100 	  0.002286
76100 	  0.002326
77100 	  0.00239
78100 	  0.002428
79100 	  0.002454
80100 	  0.002472
81100 	  0.002558
82100 	  0.002625
83100 	  0.002742
84100 	  0.002763
85100 	  0.002828
86100 	  0.002901
87100 	  0.002955
88100 	  0.003005
89100 	  0.003069
90100 	  0.003029
91100 	  0.003119
92100 	  0.003244
93100 	  0.003221
94100 	  0.003269
95100 	  0.003304
96100 	  0.003342
97100 	  0.003376
98100 	  0.00344
99100 	  0.003548
