0  0
1000  0
2000  0
3000  0
4000  0.001
5000  0.001
6000  0.001
7000  0.001
8000  0.002
9000  0.001
10000  0.002
11000  0.001
12000  0.002
13000  0.002
14000  0.002
15000  0.003
16000  0.002
17000  0.002
18000  0.004
19000  0.004
20000  0.003
21000  0.003
22000  0.005
23000  0.003
24000  0.005
25000  0.005
26000  0.003
27000  0.006
28000  0.002
29000  0.006
30000  0.007
31000  0.006
32000  0.006
33000  0.005
34000  0.006
35000  0.006
36000  0.006
37000  0.009
38000  0.007
39000  0.006
40000  0.007
41000  0.008
42000  0.005
43000  0.008
44000  0.008
45000  0.005
46000  0.008
47000  0.009
48000  0.01
49000  0.008
50000  0.008
51000  0.009
52000  0.009
53000  0.01
54000  0.009
55000  0.011
56000  0.009
57000  0.01
58000  0.01
59000  0.01
60000  0.011
61000  0.01
62000  0.01
63000  0.008
64000  0.011
65000  0.01
66000  0.01
67000  0.011
68000  0.009
69000  0.012
70000  0.013
71000  0.013
72000  0.008
73000  0.013
74000  0.012
75000  0.012
76000  0.014
77000  0.011
78000  0.012
79000  0.014
80000  0.013
81000  0.013
82000  0.012
83000  0.01
84000  0.013
85000  0.01
86000  0.013
87000  0.014
88000  0.013
89000  0.015
90000  0.015
91000  0.015
92000  0.012
93000  0.013
94000  0.014
95000  0.02
96000  0.014
97000  0.014
98000  0.012
99000  0.016
100000  0.016
